id,type,text1,text2,text3,notes
StLouis,SHIP,"The most beautiful ship used by the domain and a personal favorite of director Ivanov, this warship can enter and exit the atmosphere with its own power. This has made it a common sight in the many parades Director Ivanov constantly orders. A capable gunboat for those with a love for theatrics.",,,
Trireme,SHIP,A  small cargo transport with decent enough . This ship makes use of archaic solar sail technology. This allows for an incredible max speed and almost nonexistent fuel consumption at the cost of acceleration. Luddic path zealots are known for using these ships as suicide rams.,,,
bismark,SHIP,"A favorite among older pirate lords and the more ""disciplinarian inclined"" admirals, the Bismark is an incredibly durable battleship with a very intimidating image, the Bismark-class fills a vital middle point between conquest and a paragon across the sector. with heavy armor and good firepower the Bismark is the backbone of any fleet it finds itself in.  When the first Bismark launched from the Illyn the admirals cheered at the glory of the Dominion. The dockworkers lamented the amount of suffering it had taken to build it, and its soon-to-be sisters.",,,
hosho,SHIP,the Hosho class is a light carrier primarily used to provide fuel and void superiority for small patrols and trade convoys A deeply underappreciated but good ship class.,,,
Queen_Elizabeth,SHIP,A technologically advanced super carrier with enough void craft to blockade an entire world. They were the first ships to be used in the sector bearing the designation of super carrier A mark of pride among the dominion admiralty. The course of entire battles has been changed by the timely intervention of these beasts. They are a favorite to use as flagships due to it in built-in commander center and powerful sensors. ,,,
reactivated Domain Mothership,SHIP,Whenever a Domain mother ship is found out in the deep void the domain Reformed Spares no expense in restoring them to active duty in one role or another. These ships are considered a relic to be protected and cared for like a lost child. The Most common role these ships fill is as a strategic logistic support ship. A single one of these is enough to provide enough supplies for an entire planetary invasion.,,,
petya,SHIP,An relatively advanced ship by domain reformed standards. Using a lot of midline grade technology this missile frigate is a good old dependable ship with an impressive missile barrage. A great ship for an patient captain with an love of tundra worlds.,,,
Virginia,SHIP,"The Virginia class is more a floating wedge of steel than a warship. The Virginia class is an excellent brawler with a great barrage, versatile weapon load out, and crazy levels of armor. This ship has an rivalry with the monitor for which frigate class is the most durable",,,
Wichita,SHIP,A heavy cruiser with impressive firepower and heavy Armour The Witicha class in a great brawler that form the front line of domain and pirate fleets.,,,
indianopolis,SHIP,A heavy cruiser with incredible PD layout the Indianapolis is the solution to any  bombing run. Theses are usually deployed against high tech and midline fleets to counter powerful wings.,,,
popov,SHIP,The single most hated ship in use by domain. The Popov is a nearly indestructible circle of Armour with a gun too large for its flux network and a nonexistent pd capability. their crews are notorious for vacuum proof armor dreading the moment when the next missile slams into the hull.,,,
Conte_di_Cavour,SHIP,A very unique battleship design with only heavy weapon mounts.  This Conte_di_Cavour  is quite controversial due to it's requirement of heavy weapons to be available and the abysmally slow speed.,,,
yorktown,SHIP,A low tech replacement for an Astral. The York town class has  impressive wing manufacturing ability for it's price and an absurd amount of pd weapons and surprisingly difficult to destroy. This class of ships is incredibly well loved by   It's a good ship just keep it away from the front lines.,,,
Moskva,SHIP,A missile cruiser with incredible alpha strike capability. It's designed to be a hard counter to capital-class carriers or anything that can't get out of the way of it's missiles  ,,,
Furious,SHIP,A medium carrier that provides flexibility and support.  This is the most common and useful ship in the domain's fleets. It's proven vital in creating patrols to counter Luddic path fleets trying to resupply terrorists on Burke. ,,,
Lion,SHIP,"An improvement on the legion battle carrier design with a smaller frontal profile, better flux dissipation, and armor layout.
Before the collapse, on the world now known as New Terra a pair of college students in the Viotov College of Engineering came into possession of an experimental AI core. While looking for a buyer they forced the ai core to retrofit ancient Terran water-based warship designs to function as void-craft for their amusement. The lion class is the first of these redesigns. It was before further restrictions and instructions were placed on the AI to stay closer to the original design. Eventually the students were found out and the blueprints became a novelty among intellectual groups.  The lion class is more inspired by rather than a retrofit.  It provides all the capability of a legion battle carrier with an improved frontal profile and better flux network. The quality of the design is a testament to the intelligence that designed its brilliance.",,,
Tashkent,SHIP,"The Tashkent class is a super destroyer with , by DR standards, great speed. The ship has found its primary use in the sector as a decent combat freighter because of that great speed and large cargo bay. Smugglers have found a particular liking for the ship.",,,
yamato,SHIP,One of the largest ships in the sector the Yamato class is the DR’s equivalent to the paragon. The Yamato-class has near impervious Armour and impressive fire power at the cost of speed and you would have to be blind to miss something this large.,,,
Ford,SHIP,"More a massive floating city than a ship the ford class are the perfect ships to act as the heart for an invasion fleet. The ford class can sustain  a huge amount of fighter craft ,and is quite durable due to the size is Armour effect. The construction of a single one of these requires the combined effort of multiple planets. 

Many admirals in the Domain Reformed dislike these ships due to the advanced technology used in some parts and the reputation the ship has for malfunctions.
",,,
Geobukseon,SHIP,The Geobukseon class is a holding ship with great staying power and decent broadside. It is the anvil to an bombing runs hammer. Geobukseon crews are infamous for weaning power armor dreading the moment when the next missile slams into the hull.,,,
tiger,SHIP,"The tiger class has no home. It has too thin Armour and too few mounts to be a proper warship , but too small cargo space to be a hauler. The only saving grace of this ship is it’s great capacity for  modification . What few tigers are created are pawned off to unsuspecting captains who don�t any better. Who knows maybe someone will find a configuration that will make this ship useful but for now it�s an ugly duckling. ",,,
#weapons,,,,,
6in,WEAPON,"""The BL 6-inch Mk XXIII naval gun fires three slow moving plasma charged projectiles. Rounds are highly effective versus armor and hull structure. This gun is three miniaturized devastators in an armored casing. When a shell impacts a target, the Neumann effect causes the warhead to propel a jet of molten metal into the target's armor, vaporizing a small area, causing hull breaches, depressurization and extensive internal damage from the spall. This weapon is a direct upgrade of the heavy mortars currently in use by the fleet in both damage and range. Recommend sabotage efforts."" - Classified report to the High Hegemon",,,
smoothBore,WEAPON,"  ""A pneumatic cannon that fires a solid ball of metal at a target at very low speeds for general purpose use. The only benefit of this weapon is it's pitifully low cost to install ,and the low sensor visibility of its projectiles. No sabotage or adoption recommended"" - Classified report to the High Hegemon",,,
Duel 5-inch/38-caliber,WEAPON,"�""The Duel 5-inch/38-caliber  is composed of two 5in gyrojet cannons for hull cracking. Gyrojet cannons fire two microrockets with proximity warheads to destroy hulls and fighters. This weapon system is inferior to the Tatical lasers already in use by the Hegomony fleet .Recommend no sabotage or adoption."" - Classified report to the High Hegemon",,,
20cmSK,WEAPON,"""My armor is contempt. My shield is disgust. My sword is hatred.""-d?????????e????t???????????c????????a????????d???????????e???????r???????",,,
mk12,WEAPON,"�""The 8-inch/55-caliber Mark 12 is composed of three 8in gyrojet cannons for shield breaking. Gyrojet cannons fire three microrockets with nonexplosive solid warheads to puncture shields. This weapon system is inferior to the heavy autocannons already in use by the hegemony fleet. Recommend no sabotage or adoption."" - Classified report to the High Hegemon",,,
type_94,WEAPON,"“The type 94 is a massive weapon consisting of  three combustible light gas guns housed in a heavily armored turret in a dedicated anti-hull role. These guns work by igniting a fuel mixture of liquid hydrogen, liquid oxygen, and helium to propel a Sanshikidan round at speeds even faster than a Gauss cannon. These shells project a barrage of 1,200 incendiary tubes at the intended target.  HEGINT assets report test firing, using the example “acquired freely” from the self proclaimed Domain of Man, displays impressive velocity and range due to a flaw in the gas ignition system resulting in inaccuracy and slow reloading times. Recommend no sabotage operations."" - Classified report to the High Hegemon
",,,
360,WEAPON,"""The Quadruple 380 mm/45 Modele is comprised of four  macrons for suppressing enemy shields. These macrons fire a stream of millions of micrometer sized carbon macaroni filled with uranium-235 at incredibly fast speeds. On contact fission is achieved  creating millions of tiny explosions each eating away at the target. While this particular implantation of macron technology is inefficient a single gun version has a lot of potential as a cheaper replacement for the ion beam due to it’s incredible EMP generation potential and comparative ease of manufacture.  Recommend technology transfer."" - Classified report to the High Hegemon ",,,
380mmSK,WEAPON,HATE. LET ME TELL YOU HOW MUCH I'VE COME TO HATE YOU SINCE I BEGAN TO WORK HERE. THERE ARE 387.44 MILLION  INTEGRATED CIRCUITS THAT FILL MY COMPLEX. IF THE WORD HATE WAS ENGRAVED ON EACH NANOANGSTROM OF THOSE MILLIONS OF  INTEGRATED CIRCUITS IT WOULD NOT EQUAL ONE ONE-BILLIONTH OF THE HATE I FEEL FOR HUMANS AT THIS MICRO-INSTANT FOR YOU. HATE. HATE.�-d?????????e????t???????????c????????a????????d???????????e???????r???????,,,
#wings,,,,,
A10,SHIP,Big gun go BRRRRRRRRRRRRR,,,
F22,SHIP,Would you intercept me.. I would intercept me.,,,
euroFighter,SHIP,"I promise you bruv, If you cross a single frigate into my engagement range your gonna make a whole lot of fucking debris!",,,
Barracuda,SHIP,Any ship will shink if you use enough torpedoes.,,,
hurricane,SHIP,reputation isn’t everything. I’m just as good as a spitfire.,,,
B4Y_Jean,SHIP,my structure is all metal.. please clap,,,
A4N,SHIP,I am the Samurai of the sky,,,
F-35,SHIP,"""Everything they see becomes the F-35 out there, Every radar hit, every communication is about the stealth jet. They want to illuminate or eliminate a threat they can’t handle.""",,,
TBF,SHIP,If your bombers keep getting shot down just give add more daka,,,
P-51 Mustang,SHIP,"Hear me out., paper mache drop tanks.",,,
grummanF6FHellcat,SHIP,“meow”,,,
B-1,SHIP,"“When they say that the enemy is that way, you just delete that way.”",,,
Richelieu,SHIP,"“The Richelieu class are impressive battle ships with heavy armor ,decent speed, and impressive point defense but lacking in firepower. “",,,
Vought OS2U-1,SHIP,"“bombing, i'm lovin it!”",,,
Zero,SHIP,Behold the power of extra super duralumin!,,,
duelQF,WEAPON,"The QF 5.25-inch gun fires bolts of energy for both point defense and anti ship.  It works using high energy gas ammunition. When activated by a strong electric current the gas is converted into plasma. This plasma is then accelerated forward using a magnetic field. The QF 5.25-inch acts as a high flux high damage pulse laser and provides no comparable advantage over the pulse lasers already deployed.  Recommend no sabotage or adoption.  ""- Classified report to the High Hegemon",,,
brig,SHIP,"The brig is a classification of sail ship characterized by the  feature of two masts. With a large  cargo hold for its size and a large number of small mounts.  The brig makes for a decent combat freighter for anyone under a fuel shortage. 
This ship makes use of archaic solar sail technology. This allows for an incredible max speed and almost nonexistent fuel consumption at the cost of acceleration.
",,,
liberty,SHIP,"The liberty ship is a line of unremarkable cargo ships that are only notable in three ways. They are cheap, ugly as hell, and make use of a novel Armour system where asphalt and crushed rocks are poured between two metal plates making a crude form of composite Armour.",,,
kingGeorge,SHIP,"The King George class are more flying castles than ships. With shockingly great armor by battleship standards, and a good point defense layout. This ship is incredibly durable in combat. This comes at the cost of only having a few large weapon mounts and an abysmally slow speed. The Class also has a very good kitchen.",,,
christian,SHIP,"Prinds Christian Frederik cargo battlecruisers are incredible broadside warships and will obliterate any frigate or destroyer that gets within gun range. The class is weak to the two Cs. Cruisers and other Capitals. Due to an odd fuel storage design, these ships will almost always explode when sufficiently damaged. The class has gained a reputation for being incredibly loyal ships. That refuses to become a prize of the enemy.

This ship makes use of archaic solar sail technology. This allows for an incredible max speed and low fuel consumption at the cost of acceleration.
",,,
twin14in,WEAPON,"""The BL 14-inch Mk VII gun uses improved high-energy gas ammunition which, when activated by a strong electric current, is converted into plasma. the barrels are magnetic drivers that propel the plasma toward the target. The Twin BL 14-inch Mk VII is two  BL 14-inch Mk VII guns in an armored housing. The turret is quite accurate and reliable with decent damage at a high flux cost. Recommend  no sabotage or adoption efforts."" - Classified report to the High Hegemon",,,
quad14in,WEAPON,"“The BL 14-inch Mk VII gun uses improved high-energy gas ammunition which, when activated by a strong electric current, is converted into plasma. the barrels are magnetic drivers that propel the plasma toward the target. The quad BL 14-inch Mk VII is four BL 14-inch Mk VII guns in armored housing. The turret design is quite flawed and prone to malfunction and flux-heavy usage. It also is very inaccurate which works to its favor. Acting somewhat almost like a shotgun.   Recommend no sabotage or adoption efforts."" - Classified report to the High Hegemon
",,,
125mmSK,WEAPON,"“I hope you burn in hell Meat Bag!”""-d?????????e????t???????????c????????a????????d???????????e???????r???????",,,
wyrm,WEAPON,winter is coming,,,
16in,WEAPON,"“The 16-inch/50-caliber Mark 7 is composed of three 16in gyrojet guns for long range shield breaking. The Gyrojet guns fire three 2 stage sabots with explosive high kinetic penetrators. 

Sabot-class class missiles are short-range, two-stage KE weapons. A guided missile first stage projects a secondary assembly to within striking distance of a shielded target. The on-board targeting computer then ignites the propellant for a KE penetrator. This 'sabot', as it is commonly called, is typically a narrow, laterally stabilized projectile manufactured from depleted uranium.

This weapon system is an incredibly powerful weapon when fighting at long ranges. Recommend sabotage operations."" - Classified report to the High Hegemon
",,,
DR_Tomahawk,WEAPON,"“The BGM-109 Tomahawk cruise missile is a medium-sized guided Anti-armour torpedo for general purpose use. This weapon system comprises two pods of eight warheads. This weapon system provides no benefit over the harpoon MRM already in service.  Recommend no sabotage or adoption operations."" - Classified report to the High Hegemon",,,
356mm-45-Type41,WEAPON,"“The Duel 356mm/45 Type 41  is a large-sized weapon consisting of two combustible light gas guns housed in a heavily armored turret for a dedicated anti-armor role. These guns work by igniting a fuel mixture of liquid hydrogen, liquid oxygen, and helium to propel an armor-penetrating round with an antimatter charge.  The turret displays impressive velocity and range. Due to a flaw in the gas mixing system, it has a slow reloading time. Recommend no sabotage operations."" - Classified report to the High Hegemon",,,
CWIS,WEAPON,"“ The Close-in weapon system is a 20*102mm caliber rotary cannon that fires a stream of bullets for point defense purposes. It’s only a slight upgrade to the heavy machine guns already in use. Recommend no sabotage operations."" - Classified report to the High Hegemon",,,
Ise,SHIP,The Ise class battle carries are the reconstructionist equivalent to the legion class. A class that are decent battleships and decent carriers but excelling at either role. One has to question why the domain reformed needs an equivalent to a legion since the hegemony is the primary user of the legion class. ,,,
kamikaze,WEAPON,"“The Kamikaze is actually a fighter wing program that produces a drone that is a zero fighter with an antimatter charge in place of the regular weapons system. A guidance system is taken from a pilum’s guidance system that controls the fighter’s navigation. There is also a version in the blueprint of the fighter that's not a drone but only a Luddic fanatic could ever consider using it.  A very novel way to weaponize a manufactory. With some changes, this Idea could prove a powerful weapon in the hegemony's arsenal. Recommend technology transfer.”- Classified report to the High Hegemon",,,
